Title,ExperienceLevel,YearsOfExperience,Skills,Keywords
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; Tableau; Power BI; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop; Spark basics; Basic statistics,Data Analytics; BI; Entry-Level; Fresher; Visualization; Reporting
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Pandas; Excel functions; MySQL; PostgreSQL; Hadoop; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; Reporting; Data Cleaning
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; Tableau; Power BI; Excel; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; Visualization; Dashboard
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; Dashboard; Data Cleaning
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; Tableau; Power BI; Matplotlib; Seaborn; Pandas; Excel functions; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; Reporting; Data Visualization
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; Tableau; Power BI; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; ETL; Dashboard
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; Tableau; Power BI; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; Data Cleaning; Dashboard
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Pandas; Excel functions; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing,Data Analytics; BI; Entry-Level; Fresher; Data Visualization; Reporting
Data Analyst - Experienced,Senior-Level,4–8 years,Predictive modeling; Machine learning algorithms; A/B testing; Time-series analysis; Advanced SQL; Python; R; SAS; Tableau; Power BI; Looker; Google Data Studio; ETL; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Predictive Modeling; Reporting; ETL
Data Analyst - Experienced,Senior-Level,5–9 years,Predictive modeling; Machine learning; Time-series forecasting; Advanced SQL; Python; R; SAS; Tableau; Power BI; Looker; ETL; Data warehousing; Hadoop; Spark; Kafka; Hypothesis testing; Statistical modeling,Data Analytics; BI; Senior-Level; Advanced Analytics; ETL; Dashboards
Data Analyst - Experienced,Senior-Level,6+ years,Predictive modeling; Advanced analytics; Machine learning; SQL; Python; R; SAS; Tableau; Power BI; Looker; Google Data Studio; ETL pipelines; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Predictive Modeling; ETL; Leadership
Data Analyst - Experienced,Senior-Level,5–8 years,Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; Google Data Studio; ETL workflows; Data engineering; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Dashboards; ETL; Reporting
Data Analyst - Experienced,Senior-Level,6–10 years,Predictive modeling; Machine learning; Advanced analytics; SQL; Python; R; SAS; Tableau; Power BI; Looker; Google Data Studio; ETL pipelines; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Leadership; ETL; Predictive Modeling
Data Analyst - Experienced,Senior-Level,5–9 years,Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; Google Data Studio; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Dashboards; Data Engineering; Predictive Analytics
Data Analyst - Experienced,Senior-Level,7+ years,Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Leadership; Predictive Analytics; ETL
Data Analyst - Experienced,Senior-Level,6+ years,Advanced SQL; Python; R; SAS; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Dashboards; ETL; Predictive Modeling
Data Analyst - Experienced,Senior-Level,5–9 years,Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Dashboards; Data Engineering; Reporting
Data Analyst - Experienced,Senior-Level,6–10 years,Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Leadership; Predictive Analytics; ETL
Data Analyst - Experienced,Senior-Level,5–9 years,Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka,Data Analytics; BI; Senior-Level; Dashboards; ETL; Predictive Analytics
Data Engineer,Fresher,0-1,Python; Java Basics; SQL; PostgreSQL; MongoDB; Hadoop Basics; Spark Basics; ETL Fundamentals; AWS Basics; Azure Fundamentals,Python; SQL; ETL; Big Data; AWS; Hadoop; MongoDB; Data Engineering Fundamentals
Data Engineer,Fresher,0-1,Python; Scala Basics; MySQL; MongoDB; Airflow Basics; Linux; Spark Fundamentals; Data Modeling Basics,ETL; Python; SQL; Airflow; Data Cleaning; MongoDB; Spark Basics
Data Engineer,Fresher,0-1,Python; Java; PostgreSQL; MongoDB; AWS S3 Basics; Azure Basics; Hadoop Fundamentals; Analytical Thinking,Python; SQL; PostgreSQL; AWS; Hadoop; ETL Fundamentals
Data Engineer,Fresher,0-1,SQL; Python; Java Basics; MongoDB; Hadoop Basics; Data Structures; ETL Tools Introduction,Python; SQL; ETL; Data Warehousing; Hadoop Basics
Data Engineer,Fresher,0-1,Python; Scala Basics; PostgreSQL; MongoDB; Airflow Fundamentals; Spark Basics; AWS Beginner,SQL; ETL; Python; MongoDB; Airflow; AWS; Spark Basics
Data Engineer,Fresher,0-1,Python; Java Basics; PostgreSQL; Linux; SQL; ETL Fundamentals; AWS S3 Basics,Python; SQL; ETL; AWS; Data Engineering Fundamentals
Data Engineer,Fresher,0-1,Python; Scala Basics; PostgreSQL; MongoDB; Data Modeling Basics; Azure Fundamentals; Hadoop Basics,ETL; Python; SQL; Azure; Hadoop Basics
Data Engineer,Fresher,0-1,Python; Java; SQL; MongoDB; Airflow Basics; AWS Basics; Linux,SQL; Python; ETL; Airflow; AWS
Data Engineer,Fresher,0-1,Python; SQL; PostgreSQL; MongoDB; Hadoop Basics; AWS Cloud Basics,Python; SQL; PostgreSQL; Hadoop; AWS
Data Engineer,Fresher,0-1,Python; Java Basics; SQL; MongoDB; Spark Fundamentals; Azure Basics; ETL Basics,SQL; Python; ETL; Spark Basics; Azure
Data Engineer,Experienced,2-3,Python; Scala; Java; SQL Optimization; Apache Spark; Kafka; Airflow; AWS S3; Redshift,Python; SQL; Spark; Kafka; ETL; AWS; Data Warehousing
Data Engineer,Experienced,3-4,Python; Java; SQL; Apache Kafka; Snowflake; Airflow; AWS Glue; Hadoop,Python; SQL; ETL; Snowflake; Kafka; Airflow; AWS
Data Engineer,Experienced,4-5,Scala; Python; SQL; Kafka; Flink; Databricks; GCP BigQuery; Data Modeling,Scala; Python; SQL; Kafka; Flink; BigQuery; Databricks
Data Engineer,Experienced,5+,Python; SQL; Spark; Hadoop; AWS EMR; Snowflake; Data Modeling; Airflow,Python; SQL; Spark; Hadoop; AWS; Snowflake; Airflow
Data Engineer,Experienced,2-3,Java; Python; SQL; Kafka; Airflow; GCP BigQuery; MongoDB; Data Partitioning,SQL; Python; Kafka; Airflow; BigQuery
Data Engineer,Experienced,3-5,Python; Scala; SQL Optimization; AWS Glue; Databricks; Flink; Snowflake; Airflow,SQL; Python; AWS Glue; Snowflake; Databricks; Flink
Data Engineer,Experienced,4-5,Python; Java; SQL; Spark; Kafka; AWS Redshift; Azure Data Lake; Airflow,SQL; Python; Spark; Kafka; AWS; Airflow
Data Engineer,Experienced,5+,Python; SQL; Scala; Snowflake; BigQuery; Hadoop; Airflow; Kafka; Data Governance,Python; SQL; Snowflake; BigQuery; Airflow; Data Governance
Data Engineer,Experienced,3-4,Python; Scala; SQL; Kafka; Flink; Azure Synapse; MongoDB; Airflow,Python; SQL; Kafka; Flink; Airflow; Azure Synapse
Data Engineer,Experienced,5+,Python; Java; SQL; Spark; AWS Glue; Snowflake; Data Modeling; Airflow; Kafka,Python; SQL; Spark; Snowflake; AWS; Kafka; Airflow
Data Scientist - Entry Level,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; MongoDB; Basic ML: classification, regression, clustering; Data wrangling; Data preprocessing",Data Scientist; Python; R; SQL; Machine Learning; Data Analysis; Pandas; NumPy; Visualization
Junior Data Scientist,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; Excel; Basic ML: logistic regression, decision trees, K-means; MySQL; PostgreSQL",Data Scientist; Python; R; SQL; ML Models; Data Visualization; Analytics
Data Analyst / Data Scientist Intern,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MongoDB; MySQL; Basic ML: classification, clustering",Data Scientist; Data Analyst; Python; R; SQL; Machine Learning; Internship; Data Visualization
Data Scientist - Fresher,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML algorithms: regression, classification, clustering",Data Scientist; Python; R; SQL; Data Analysis; Visualization; Machine Learning
Entry Level Data Scientist,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; MongoDB; Basic ML: classification, regression, clustering; Data cleaning; Data wrangling",Data Scientist; Python; R; SQL; Data Analysis; Machine Learning; Visualization
Fresher Data Scientist,Fresher,0-1,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; MongoDB; Basic ML: classification, regression, clustering",Data Scientist; Python; R; SQL; Machine Learning; Data Visualization; Entry Level
Data Scientist - Experienced,Mid-Senior,3-6,Python (advanced); R; SQL; Java/Scala; Regression; Classification; Clustering; Ensemble methods; Deep Learning; NLP; Reinforcement Learning; Hadoop; Spark; Tableau; PowerBI; ETL pipelines,Data Scientist; Machine Learning; Python; R; SQL; Deep Learning; NLP; Big Data
Senior Data Scientist,Senior,5+,Python; R; SQL; Java/Scala; Ensemble methods; Time-series modeling; Deep Learning; NLP; Spark; Hadoop; AWS EMR; ETL pipelines; Feature Engineering; Tableau; PowerBI; Jupyter; Git,Data Science; Machine Learning; Python; R; SQL; Deep Learning; Big Data; Analytics
Lead Data Scientist,Senior,6+,Python; R; SQL; Java/Scala; Classification; Regression; NLP; Reinforcement Learning; Ensemble methods; Spark; Hadoop; AWS; Azure; ETL automation; Feature Engineering; Tableau; PowerBI; Jupyter; Git,Data Science; AI; Machine Learning; Python; R; SQL; Big Data; Leadership
Principal Data Scientist,Senior,7+,Python; R; SQL; Java/Scala; Machine Learning; Deep Learning; NLP; Reinforcement Learning; Ensemble methods; Spark; Hadoop; AWS; GCP; ETL automation; Predictive modeling; Feature engineering; Tableau; PowerBI,Data Science; AI; Machine Learning; Big Data; Python; R; SQL; Leadership
